name,lat,lon,temp,hum,wind,cloud,maxt
khatanga,71.97,102.5,24.04,95,5.41,34,24.04
punta arenas,-53.15,-70.92,42.39,70,26.4,20,42.8
airai,-8.93,125.41,67.21,52,2.8,0,67.21
lompoc,34.64,-120.46,61.92,63,12.75,1,62.6
kiama,-34.68,150.87,60.28,67,5.82,100,63.0
andenes,69.31,16.12,38.75,93,24.16,100,41.0
turayf,31.67,38.66,62.6,48,4.7,43,62.6
vaini,-21.2,-175.2,84.2,74,8.05,40,84.2
samana,19.21,-69.34,82.4,69,10.16,20,82.4
faanui,-16.48,-151.75,82.83,75,15.23,60,82.83
tuatapere,-46.13,167.68,54.0,72,5.99,35,54.0
comodoro rivadavia,-45.87,-67.5,59.0,38,17.22,0,59.0
qasigiannguit,68.82,-51.19,30.2,54,24.16,100,30.2
ibotirama,-12.19,-43.22,71.73,81,3.53,83,71.73
lebu,-37.62,-73.65,55.83,74,9.84,100,55.83
senno,59.53,33.92,30.09,98,2.37,80,30.09
saint george,37.1,-113.58,71.26,28,13.87,1,71.6
bredasdorp,-34.53,20.04,53.74,93,2.24,6,55.99
ushuaia,-54.8,-68.3,41.0,86,27.51,90,41.0
rikitea,-23.12,-134.97,77.07,67,5.99,100,77.07
san policarpo,12.18,125.51,82.33,83,13.11,95,82.33
saint-philippe,-21.36,55.77,66.99,73,6.93,75,73.4
cape town,-33.93,18.42,62.92,77,18.34,75,64.0
busselton,-33.65,115.33,54.68,63,20.2,78,57.99
albany,42.6,-73.97,60.01,52,4.18,90,60.01
muroto,33.28,134.15,64.4,82,8.05,40,64.4
kodiak,57.79,-152.41,46.4,75,12.75,90,46.4
pathein,16.78,94.73,77.59,87,6.69,7,77.59
san cristobal,7.77,-72.22,89.6,52,2.24,40,89.6
roald,62.58,6.13,39.88,93,10.29,0,41.0
hofn,64.25,-15.21,44.04,84,8.34,99,44.04
mount gambier,-37.83,140.77,59.0,67,18.34,40,59.0
chokurdakh,70.63,147.92,7.12,94,11.52,86,7.12
puerto ayora,-0.74,-90.35,82.18,70,18.34,75,84.2
port elizabeth,-33.92,25.57,71.6,46,12.75,29,71.6
tasiilaq,65.61,-37.64,32.0,92,4.7,100,32.0
tuktoyaktuk,69.45,-133.04,10.4,85,9.17,90,10.4
qaanaaq,77.48,-69.36,15.82,84,16.4,75,15.82
praia da vitoria,38.73,-27.07,57.2,62,18.77,20,57.2
sinnamary,5.38,-52.95,79.9,84,16.82,97,79.9
hermanus,-34.42,19.23,58.24,95,1.01,38,61.0
